iter	Passed	Remaining
419	2493	4631
420	2498	4623
421	2505	4618
422	2510	4610
423	2515	4603
424	2521	4598
425	2526	4590
426	2532	4584
427	2539	4580
428	2545	4574
429	2551	4569
430	2556	4561
431	2561	4554
432	2568	4548
433	2573	4541
434	2578	4533
435	2584	4528
436	2589	4521
437	2594	4513
438	2602	4510
439	2607	4503
440	2612	4495
441	2620	4493
442	2626	4487
443	2633	4483
444	2639	4477
445	2644	4470
446	2650	4465
447	2655	4457
448	2660	4450
449	2668	4446
450	2674	4441
451	2680	4436
452	2685	4428
453	2690	4421
454	2697	4416
455	2703	4410
456	2708	4404
457	2715	4399
458	2720	4392
459	2726	4385
460	2733	4381
461	2738	4374
462	2744	4368
463	2750	4362
464	2755	4355
465	2761	4349
466	2767	4343
467	2772	4336
468	2778	4330
469	2783	4323
470	2788	4316
471	2794	4310
472	2799	4303
473	2804	4295
474	2810	4289
475	2816	4283
476	2821	4276
477	2827	4271
478	2832	4264
479	2838	4257
480	2846	4254
481	2851	4247
482	2856	4241
483	2863	4236
484	2868	4228
485	2873	4221
486	2880	4217
487	2885	4209
488	2890	4202
489	2897	4198
490	2902	4191
491	2909	4187
492	2914	4180
493	2919	4172
494	2925	4166
495	2930	4159
496	2935	4152
497	2942	4147
498	2948	4141
499	2953	4134
500	2959	4129
501	2964	4122
502	2969	4115
503	2976	4110
504	2981	4103
505	2986	4096
506	2993	4091
507	2998	4084
508	3004	4078
509	3010	4073
510	3015	4066
511	3022	4061
512	3028	4056
513	3034	4049
514	3039	4043
515	3045	4036
516	3050	4030
517	3059	4027
518	3064	4021
519	3071	4015
520	3076	4010
521	3081	4002
522	3087	3996
523	3093	3990
524	3098	3983
525	3104	3978
526	3110	3972
527	3115	3965
528	3121	3958
529	3125	3951
530	3130	3944
531	3137	3939
532	3142	3932
533	3147	3925
534	3154	3921
535	3160	3915
536	3165	3908
537	3173	3904
538	3178	3897
539	3183	3891
540	3190	3886
541	3196	3880
542	3202	3874
543	3207	3868
544	3213	3862
545	3221	3858
546	3227	3852
547	3233	3847
548	3240	3842
549	3248	3839
550	3256	3836
551	3263	3831
552	3270	3827
553	3277	3821
554	3284	3816
555	3289	3809
556	3294	3803
557	3301	3798
558	3306	3791
559	3312	3785
560	3319	3781
561	3325	3775
562	3332	3770
563	3338	3764
564	3343	3757
565	3350	3753
566	3356	3747
567	3365	3744
568	3372	3740
569	3379	3735
570	3386	3730
571	3392	3724
572	3397	3718
573	3403	3711
574	3408	3705
575	3415	3700
576	3421	3694
577	3427	3688
578	3436	3685
579	3445	3682
580	3452	3678
581	3459	3673
582	3468	3670
583	3473	3664
584	3481	3659
585	3486	3653
586	3492	3647
587	3499	3642
588	3504	3635
589	3511	3630
590	3518	3625
591	3524	3619
592	3531	3615
593	3537	3608
594	3543	3603
595	3549	3596
596	3554	3590
597	3562	3586
598	3568	3580
599	3574	3574
600	3582	3570
601	3588	3564
602	3595	3559
603	3601	3553
604	3607	3547
605	3613	3542
606	3619	3535
607	3626	3531
608	3632	3525
609	3638	3519
610	3645	3513
611	3650	3507
612	3658	3503
613	3665	3498
614	3670	3491
615	3678	3487
616	3684	3481
617	3690	3475
618	3697	3470
619	3702	3463
620	3709	3458
621	3714	3451
622	3719	3445
623	3727	3441
624	3734	3435
625	3740	3429
626	3746	3423
627	3751	3417
628	3758	3412
629	3763	3405
630	3768	3398
631	3775	3393
632	3780	3386
633	3785	3379
634	3793	3375
635	3798	3368
636	3805	3363
637	3810	3356
638	3816	3350
639	3822	3344
640	3827	3338
641	3832	3331
642	3839	3326
643	3846	3320
644	3851	3314
645	3859	3309
646	3864	3303
647	3871	3297
648	3876	3291
649	3881	3284
650	3888	3279
651	3894	3273
652	3899	3266
653	3906	3261
654	3911	3254
655	3916	3247
656	3923	3242
657	3928	3235
658	3933	3229
659	3939	3223
660	3944	3216
661	3950	3210
662	3956	3204
663	3961	3197
664	3966	3191
665	3971	3184
666	3976	3177
667	3980	3170
668	3988	3165
669	3993	3159
670	3999	3152
671	4004	3146
672	4009	3139
673	4013	3132
674	4020	3126
675	4024	3119
676	4029	3112
677	4035	3107
678	4040	3099
679	4044	3092
680	4050	3087
681	4055	3080
682	4059	3073
683	4067	3068
684	4073	3062
685	4078	3055
686	4084	3050
687	4089	3043
688	4094	3036
689	4102	3031
690	4106	3025
691	4111	3018
692	4118	3012
693	4122	3006
694	4127	2999
695	4133	2993
696	4139	2987
